CustomerID,Gender,Age,Salary,Tenure,Balance,Products,CreditScore,Active,Churn
1,Male,68,63162,3,1979,4,495,0,0
2,Female,64,23749,3,21305,4,621,1,1
3,Male,64,31353,2,74543,2,717,1,0
4,Male,21,48477,0,35094,3,641,1,1
5,Male,24,44570,7,35098,2,688,1,0
6,Female,62,31437,0,89566,2,308,0,1
7,Male,52,58104,6,33770,4,831,1,0
8,Male,65,83370,4,9734,3,448,0,1
9,Male,26,24551,3,71984,1,682,0,0
10,Female,25,88359,3,39605,4,828,1,1
11,Male,69,74880,7,77932,3,311,0,1
12,Male,62,32916,5,55619,2,775,1,1
13,Male,34,61445,0,27881,3,352,1,0
14,Male,34,67636,9,63401,4,735,1,1
15,Female,66,93927,7,31177,3,505,1,1
16,Male,50,98194,1,40122,2,353,1,0
17,Female,49,49685,5,35297,3,789,0,0
18,Female,25,71134,8,36680,3,643,1,1
19,Female,36,87847,0,83452,2,468,0,0
20,Male,55,59993,5,51044,4,460,0,1
21,Female,20,64333,7,96775,1,826,0,1
22,Male,22,78865,9,44084,2,826,0,0
23,Female,30,99096,1,34189,2,586,1,1
24,Female,64,69756,4,13510,4,711,0,1
25,Female,63,81192,5,90502,4,821,1,0
26,Female,48,80686,4,22152,3,498,0,0
27,Female,33,68733,2,84738,2,460,1,1
28,Female,67,45993,3,26445,3,688,1,1
29,Female,49,50492,6,76688,3,773,1,1
30,Female,39,40981,3,71153,4,680,1,0
31,Male,46,44143,8,1195,4,423,1,1
32,Male,39,97603,9,59949,3,371,0,1
33,Female,60,80277,1,25433,2,467,0,1
34,Female,20,69990,4,5305,2,583,0,0
35,Female,27,82888,7,58860,3,793,0,1
36,Male,59,89351,4,73613,1,335,1,1
37,Female,38,69999,9,48648,1,474,0,0
38,Male,33,90309,7,63090,4,498,0,0
39,Male,29,32446,7,96921,2,415,0,1
40,Male,19,50733,8,42113,3,614,0,0
41,Male,58,96000,9,42642,3,519,0,1
42,Male,41,68632,5,33062,2,433,1,1
43,Female,52,41576,3,71633,4,421,1,0
44,Female,47,23320,2,41604,4,720,0,1
45,Female,47,30750,4,6678,1,791,1,1
46,Female,64,73463,5,32121,2,588,0,1
47,Female,52,46572,2,48503,2,352,1,1
48,Male,36,37948,1,86940,3,504,1,1
49,Female,67,58826,6,71279,2,647,0,0
50,Female,25,47867,4,16494,1,350,1,1
51,Male,43,80231,8,44185,2,339,0,1
52,Female,66,86262,2,9678,3,549,0,0
53,Male,57,92233,7,37632,1,517,1,0
54,Female,24,64678,5,46235,3,478,1,0
55,Male,47,32963,3,1648,2,482,1,0
56,Female,24,84360,8,81213,4,463,1,0
57,Female,20,69434,4,88301,2,676,0,0
58,Male,18,86617,9,67917,2,796,0,0
59,Male,53,40269,5,16489,3,760,0,0
60,Male,42,96312,8,77281,4,773,0,1
61,Male,54,99732,6,5818,2,336,0,1
62,Male,18,97225,4,33149,1,618,0,0
63,Male,32,57528,1,27312,1,711,1,1
64,Male,54,98972,3,37124,3,655,0,1
65,Male,30,85602,1,1316,3,528,0,1
66,Female,57,53332,2,70990,4,563,1,1
67,Female,25,98929,9,60046,3,786,1,1
68,Male,22,89206,2,78643,4,651,0,0
69,Female,26,22251,3,69610,2,741,0,0
70,Female,18,65717,5,86724,1,758,1,1
71,Female,53,47027,2,97504,1,324,0,0
72,Female,52,29583,9,64042,1,430,1,1
73,Male,19,70387,0,23102,3,669,1,1
74,Female,57,43104,0,31957,3,735,1,1
75,Male,40,32224,8,12872,2,523,0,0
76,Female,26,80624,8,50094,3,651,0,1
77,Female,51,76058,4,47719,4,784,1,1
78,Female,63,49299,8,73885,1,496,1,1
79,Male,31,98572,6,19693,2,408,0,0
80,Female,21,97928,8,50478,4,519,0,1
81,Male,47,93474,6,98163,4,618,0,0
82,Female,48,24141,8,43677,3,381,1,1
83,Male,55,43350,1,60012,3,836,1,1
84,Female,28,95082,7,10760,1,731,1,1
85,Male,52,90871,6,11584,2,307,0,0
86,Male,25,25077,5,2106,4,448,1,1
87,Female,20,66015,4,13669,3,397,1,1
88,Male,31,91147,3,25223,3,400,1,1
89,Female,30,79180,6,60666,2,666,0,1
90,Female,62,60857,2,35706,2,761,1,1
91,Female,49,79840,7,68019,3,713,1,1
92,Female,51,79902,1,61585,3,558,0,0
93,Female,62,25577,0,27482,1,655,1,1
94,Female,36,40002,1,60369,2,310,0,0
95,Female,55,70711,8,34143,4,715,0,1
96,Female,33,59451,4,24240,3,549,1,0
97,Female,19,69103,7,10015,3,849,0,1
98,Female,57,48647,2,82164,3,421,1,0
99,Female,34,54831,6,63023,3,364,0,1
100,Male,51,86830,1,51500,1,601,1,0
101,Male,59,56833,7,63925,2,424,0,1
102,Female,33,44398,6,90979,3,611,0,0
103,Female,55,81554,4,96355,2,490,0,1
104,Female,19,70755,3,80596,4,749,1,1
105,Female,19,37706,0,92973,4,458,1,1
106,Female,43,42340,4,49631,4,652,1,0
107,Female,30,84994,8,76190,4,562,0,0
